cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana
2010,50,0,75,0,6
2000,50,0,34,0,1
1998,50,1,44,0,6
2005,50,1,59,0,5
2000,50,0,39,0,1
2007,50,0,69,0,5
2004,50,1,49,0,1
2004,50,0,39,0,1
2011,120,0,49,0,1
2006,50,0,54,0,1
1991,120,0,39,0,5
2002,50,1,29,1,1
1999,90,0,75,0,0
1993,50,0,39,0,1
2006,90,1,29,0,6
1999,90,1,59,0,5
1998,50,0,54,0,6
1999,120,0,39,0,1
1992,90,0,34,0,1
2000,50,0,34,0,1
1999,50,0,54,0,5
2001,50,0,20,0,6
2010,90,0,49,0,5
2001,50,0,34,0,0
1999,50,1,29,0,6
1999,50,0,69,1,0
1998,50,1,29,0,0
2007,120,0,24,0,6
1999,50,0,39,0,1
1994,90,0,74,0,1
2001,50,0,54,0,6
1993,50,1,20,0,6
2003,80,0,29,0,5
2005,50,0,39,0,6
1998,90,1,39,0,6
