cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
1992,50,50,0,20,0,5,0,1,50,0,1
1997,120,120,0,34,0,6,0,0,120,2,4
2000,50,50,1,34,0,5,0,2,50,0,1
2007,50,50,1,59,1,1,0,1,50,0,1
2001,90,90,0,54,0,1,0,1,90,0,1
2004,50,50,1,49,0,5,0,2,50,0,0
1988,90,90,0,69,0,0,0,1,90,0,2
2010,50,50,0,54,0,1,0,2,50,0,1
2009,50,50,0,39,0,1,0,2,50,0,1
1997,90,90,1,39,0,6,0,2,90,0,1
1996,50,50,0,39,0,1,0,1,50,0,3
2003,80,120,0,54,0,0,0,0,80,0,1
2001,50,50,0,17,0,6,0,2,50,0,1
2008,100,100,1,24,0,1,0,1,100,0,1
1988,50,50,0,59,0,5,1,2,50,2,0
2007,50,50,0,29,0,0,0,2,50,0,1
1997,120,120,0,29,0,6,0,0,120,0,1
1990,50,50,0,54,0,1,0,2,50,0,2
2007,50,50,0,29,0,6,0,2,50,0,2
2003,50,50,0,39,0,6,0,2,50,0,1
1997,50,50,0,34,0,1,0,2,50,1,0
2002,50,50,0,39,0,1,0,2,50,0,1
2000,50,50,0,17,0,5,0,2,50,0,1
1992,40,120,1,20,0,6,0,0,40,0,1
2001,50,50,0,54,0,1,1,2,50,0,1
2009,50,50,0,29,0,5,0,2,50,0,1
1986,50,50,0,59,0,5,0,2,50,0,1
1993,50,50,0,20,0,0,0,2,50,0,1
2005,50,70,1,44,1,5,0,1,50,0,1
2003,90,90,1,49,0,6,0,1,90,0,1
2000,50,50,0,20,0,0,0,2,50,0,1
1999,50,50,0,39,0,5,1,2,50,0,1
1985,50,50,0,54,0,0,0,2,50,0,1
2009,50,50,0,29,0,1,0,1,50,0,1
2005,50,50,0,54,0,0,0,2,50,0,1
1995,50,50,0,54,0,1,0,2,50,0,1
1993,50,70,1,24,0,1,0,1,50,0,1
2001,50,50,1,20,0,0,0,2,50,0,1
2007,50,50,0,24,0,5,0,2,50,0,1
2008,90,90,0,59,0,1,0,1,90,0,2
1994,50,50,0,69,0,0,0,1,50,0,1
1992,50,50,1,24,0,1,0,1,50,0,1
1999,50,50,0,29,0,1,0,2,50,0,1
1995,120,120,0,34,0,0,0,0,120,0,2
2003,50,90,1,34,0,0,0,1,50,1,5
2003,50,50,0,34,0,6,0,2,50,0,1
1998,50,50,0,49,0,5,0,2,50,0,2
1992,50,50,0,39,0,0,0,1,50,0,1
2007,120,120,0,54,0,6,0,0,120,0,1
2006,50,50,0,39,0,6,0,2,50,0,1
1994,50,90,0,34,0,5,0,1,50,0,1
2000,50,50,1,49,0,5,1,2,50,0,2
2009,50,50,0,39,1,6,0,2,50,0,1
2005,50,50,0,49,0,6,0,2,50,0,2
1999,50,90,0,24,0,5,0,1,50,0,1
2000,50,50,1,39,0,6,0,2,50,0,1
1993,50,50,1,54,0,6,0,2,50,0,1
1998,50,50,0,29,0,1,0,2,50,0,1
1989,50,50,0,69,0,6,0,1,50,0,2
1994,50,50,0,54,0,6,0,1,50,0,1
2007,90,90,1,74,0,5,0,6,90,0,1
1999,50,90,0,39,0,5,0,1,50,0,1
2007,50,50,0,29,0,6,1,2,50,0,1
1993,50,50,0,44,0,1,0,1,50,0,1
1999,50,50,1,39,0,1,1,2,50,0,1
2008,50,50,0,34,0,0,0,1,50,0,1
1991,50,50,0,24,0,1,0,2,50,0,2
1996,90,90,1,44,0,0,0,1,90,0,4
1996,50,50,0,54,0,6,0,2,50,0,1
2001,50,50,1,54,0,5,0,2,50,0,1
2002,90,90,1,39,0,1,0,1,90,0,1
2002,100,100,1,29,0,6,0,0,100,0,2
1995,50,50,1,44,0,6,0,2,50,0,1
1998,90,90,0,29,0,0,0,1,90,1,0
2004,50,50,0,49,0,6,0,1,50,0,1
2002,90,90,0,39,0,0,2,6,90,0,1
1991,50,50,0,24,0,1,0,1,50,0,1
2004,120,120,0,34,0,0,0,0,120,0,3
2008,50,50,1,34,1,6,0,1,50,0,2
2007,50,50,0,59,0,5,0,1,50,0,2
1991,50,50,0,29,0,0,0,2,50,0,1
2006,50,50,1,39,0,1,0,1,50,0,1
2008,90,90,0,24,0,0,0,1,90,1,0
1999,50,50,0,44,0,6,0,1,50,1,0
1992,90,90,1,69,0,6,0,1,90,0,1
2007,50,40,0,75,0,1,0,2,50,0,1
2005,50,50,0,44,0,6,0,2,50,0,1
2008,50,50,0,75,0,6,0,2,50,0,1
2000,50,50,0,20,0,5,0,2,50,0,1
1993,50,50,0,29,0,6,0,2,50,0,1
2009,120,120,0,24,0,0,0,0,120,0,1
2004,50,50,1,49,0,0,0,1,50,0,3
2002,50,50,1,34,0,5,0,2,50,0,1
1997,50,50,0,39,1,5,0,2,50,0,1
1994,50,50,0,29,0,1,0,2,50,0,1
1992,120,120,0,49,0,6,0,0,120,0,2
2000,50,50,0,44,0,5,0,2,50,0,1
2002,50,50,0,24,0,1,0,2,50,0,1
1992,30,50,0,20,0,1,0,2,30,0,3
1997,50,50,0,49,0,6,0,1,50,0,1
1993,50,50,1,59,0,1,0,1,50,0,2
1988,50,50,0,34,0,5,0,1,50,0,2
2000,50,50,1,44,0,1,0,2,50,0,1
1990,50,50,0,39,0,6,0,2,50,0,2
2002,50,50,0,24,0,1,0,2,50,0,1
2008,50,50,0,29,0,1,0,2,50,0,1
2005,60,60,0,44,1,1,0,1,60,0,1
2003,50,50,1,44,0,5,0,1,50,0,1
2007,120,120,0,39,0,0,0,0,120,0,2
1990,50,50,0,49,0,1,0,2,50,0,1
1998,90,90,1,39,0,1,0,1,90,2,2
2009,120,120,0,74,0,1,0,0,120,0,2
1991,90,90,0,49,0,6,0,1,90,0,2
2005,120,120,0,69,0,6,0,0,120,0,3
2002,90,90,1,39,0,6,0,0,90,0,1
1994,50,90,1,24,0,5,0,2,50,0,1
2000,90,90,0,49,0,5,0,1,90,0,1
2000,50,90,1,29,0,6,0,2,50,0,1
2005,50,50,0,39,0,1,0,2,50,1,1
2005,40,90,1,44,0,5,0,1,40,0,2
1995,90,90,0,29,0,0,0,1,90,0,1
2003,50,50,0,39,1,0,0,1,50,0,1
1999,50,50,0,49,0,0,0,2,50,0,1
1997,50,50,1,54,0,6,0,2,50,0,1
