cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
2013,70,120,1,29,1,0,0,0,0,1,1,6,0,0,9,1,0
2000,70,120,0,44,1,0,0,0,0,1,1,6,0,0,3,0,0
2011,50,50,1,17,1,0,0,1,0,2,0,6,0,0,8,0,0
1997,60,120,1,29,1,0,0,0,0,2,1,7,0,1,12,0,0
2008,60,90,0,54,1,0,0,6,0,0,0,6,2,0,5,0,1
2011,90,90,0,44,1,0,0,4,0,2,0,7,0,1,14,0,0
2001,50,50,0,24,1,0,0,3,0,4,0,6,0,0,9,0,0
1994,90,90,0,20,1,0,0,3,0,1,0,6,0,0,10,0,0
2002,50,50,0,20,1,0,0,1,0,1,0,6,0,0,3,0,0
1994,50,50,0,74,1,0,0,1,0,1,0,6,0,0,8,0,0
1992,120,120,0,39,1,0,0,0,0,1,1,6,0,0,8,0,0
2006,50,50,1,54,1,0,0,1,0,4,0,6,0,0,7,0,0
2000,50,50,0,49,1,1,0,1,0,1,0,6,0,0,9,0,0
1994,50,50,0,39,1,0,0,1,0,1,0,6,0,0,7,0,0
2015,90,90,0,39,1,0,0,6,0,3,0,6,0,0,5,0,0
2014,30,30,0,69,1,0,2,1,0,1,0,6,0,0,5,0,0
1990,50,50,0,75,1,0,0,1,0,1,0,6,1,0,10,0,0
2009,30,50,0,49,1,0,0,1,0,3,0,7,0,1,9,0,0
2004,50,50,1,34,1,1,0,1,0,2,0,6,0,0,4,0,0
2008,90,90,1,24,1,0,0,4,0,3,0,6,0,0,7,0,0
2010,50,50,1,49,1,0,0,1,0,3,0,5,0,1,8,0,0
2010,80,100,0,44,1,0,0,6,0,2,2,6,0,0,5,1,0
2018,50,50,0,24,1,0,0,1,0,2,0,6,0,0,7,0,0
2009,50,50,1,39,1,0,0,4,0,2,0,6,0,1,16,0,0
2011,50,50,0,29,1,0,0,1,0,1,0,6,0,0,9,0,0
2006,50,50,0,39,1,0,0,4,0,1,0,6,0,0,9,0,0
2004,50,50,0,49,1,0,0,1,0,2,0,6,0,0,8,0,0
2005,50,50,0,20,1,0,0,1,0,1,0,6,0,0,8,0,0
2003,50,50,1,54,1,0,0,1,0,4,0,6,0,0,7,0,0
2012,120,120,0,34,1,0,0,0,0,1,1,6,0,0,9,0,0
2009,50,50,1,39,1,0,0,1,0,3,0,7,0,1,8,1,0
1993,90,90,0,74,1,0,0,4,0,1,0,7,0,1,9,0,0
1999,50,50,0,34,1,0,1,1,0,2,0,7,0,0,15,0,0
2008,120,120,0,59,1,0,0,0,0,3,1,6,0,0,9,0,0
2005,70,90,0,59,1,0,0,4,0,3,0,6,0,0,3,0,0
