
1996,50,50,0,20,1,1,0,1,0,1,0,6,0
2010,70,90,1,29,1,0,0,4,0,3,0,6,0
2002,90,90,0,49,1,0,0,4,1,0,0,6,0
1995,50,50,1,54,1,0,2,1,0,1,0,6,0
2010,50,50,0,34,1,0,0,1,0,1,0,6,0
2009,50,50,0,69,1,0,0,1,0,1,0,6,0
1991,50,50,1,44,1,1,0,1,0,1,0,6,0
1992,50,50,1,29,1,0,0,1,0,1,0,6,0
1998,50,50,1,69,1,0,0,1,0,1,0,7,0
2000,50,50,0,49,1,0,0,1,0,1,2,6,0
2000,50,50,0,34,1,1,0,4,0,1,0,6,0
2002,50,50,1,44,1,0,0,3,0,1,0,6,0
2009,50,50,0,49,1,0,0,1,0,1,0,7,0
1998,50,50,1,20,1,0,0,1,0,1,0,6,0
1996,80,120,0,39,1,0,0,0,0,1,1,6,0
1998,50,50,0,34,1,0,2,1,0,1,2,6,0
2004,120,120,1,24,1,0,0,0,0,1,1,5,0
2004,50,50,1,34,1,0,0,1,0,2,0,7,0
2001,90,90,0,34,1,0,0,4,0,1,0,6,0
1998,50,50,0,44,1,0,0,1,0,1,0,7,0
2010,50,50,0,74,1,0,0,4,0,2,0,5,0
2006,90,90,0,39,1,0,0,4,0,1,0,6,0
1999,50,50,0,54,1,0,0,1,0,1,0,6,0
2000,50,50,1,59,1,0,0,1,0,1,0,7,0
2008,50,50,0,24,1,0,0,4,0,1,0,5,0
2003,50,50,0,75,1,0,0,4,0,1,0,6,0
2000,120,120,0,34,1,0,0,0,0,2,1,0,0
1998,50,50,0,39,1,0,0,1,0,1,0,6,0
1985,40,40,1,44,1,0,0,1,0,1,0,6,0
2004,50,50,1,34,1,1,2,1,0,1,0,6,0
2005,50,50,0,24,1,0,0,1,0,1,0,6,0
2000,80,80,0,39,1,0,0,4,0,0,0,6,1
2003,50,50,1,34,1,1,0,1,0,1,2,6,0
