cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade
2001,90,1,39
2007,120,0,54
1986,50,0,75
1994,50,0,20
2001,50,0,59
2001,50,0,34
1991,50,0,54
1992,50,0,54
2006,30,0,20
1993,50,1,49
2000,50,0,49
1996,90,0,34
2000,50,1,44
2007,50,0,69
2010,50,1,20
2010,50,0,24
1997,50,0,34
1999,50,0,29
2000,50,1,54
2009,70,1,39
1998,50,0,29
2008,50,1,34
2001,50,1,54
1990,50,0,39
1999,90,0,44
2006,120,0,49
2002,50,0,24
2003,50,0,24
2001,50,0,39
2004,120,0,59
2010,50,0,24
2001,50,0,49
2005,50,1,39
2008,50,0,75
2005,50,0,39
1990,50,0,29
2003,50,0,34
2005,50,1,44
2007,50,0,75
2003,50,0,34
2002,50,0,24
2010,50,0,29
2008,60,0,20
1993,50,0,69
1997,80,0,39
2002,80,0,39
2003,50,1,34
2000,100,0,29
1998,50,0,49
2007,50,0,24
1998,50,0,44
2005,120,0,44
1989,40,0,24
2002,50,1,34
1995,50,0,34
2005,50,0,20
1997,50,1,24
2008,50,0,44
2000,50,0,44
1988,90,0,75
2006,50,0,39
1994,50,0,49
1984,50,0,24
2000,90,0,74
2001,40,0,49
1998,50,0,24
2001,90,0,75
1996,50,0,29
2009,50,0,49
1994,50,0,20
2007,90,0,34
2005,50,0,39
2008,50,0,29
1996,50,0,39
2004,80,0,69
2003,50,1,39
2000,50,0,34
2010,50,0,39
2002,80,0,29
1986,50,0,20
2009,50,0,29
2008,50,0,29
2000,50,1,39
1998,50,1,34
1998,50,1,24
2002,80,0,29
2010,50,0,29
1997,50,1,29
2004,90,0,74
2005,50,1,34
1998,50,0,24
2004,90,1,49
2010,50,1,34
2001,70,0,39
2010,90,0,49
2003,50,1,34
1999,50,0,20
2005,50,1,34
2003,50,0,39
2005,50,1,34
1999,50,0,74
1998,50,1,34
1993,50,0,44
2010,50,1,44
1991,50,0,49
1996,50,0,34
1996,50,1,39
1998,70,0,54
1996,50,1,20
2006,50,0,49
1993,50,0,34
1998,30,0,59
1999,50,1,29
